City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Quatre Cocos,-20.2078,57.7625,23.38,72,15,7.29,MU,1663391015
82,Port Augusta,-32.5,137.7667,17.37,45,100,8.79,AU,1663391015
83,Jamestown,42.097,-79.2353,15.95,77,0,1.54,US,1663391016
84,Peterhead,57.5058,-1.7981,9.72,68,91,11.44,GB,1663391016
85,Fleetwood,53.9253,-3.0109,3.35,71,7,4.24,GB,1663391016
86,Muros,42.7762,-9.0603,16.76,84,100,3.17,ES,1663391017
87,Kahului,20.8947,-156.47,27.13,75,33,1.34,US,1663391017
88,Yarmouth,41.7057,-70.2286,17.2,70,0,3.09,US,1663391017
89,Nizwa,22.9333,57.5333,37.6,11,10,0.6,OM,1663391018
90,Mamallapuram,12.6264,80.1722,33.03,65,100,4.97,IN,1663391018
91,Vao,-22.6667,167.4833,21.76,72,65,7.83,NC,1663391018
92,Nanortalik,60.1432,-45.2371,8.35,90,100,2.68,GL,1663391018
93,Cidreira,-30.1811,-50.2056,15.49,82,0,6.02,BR,1663391018
94,Mihara,34.4,133.0833,27.32,78,100,8.66,JP,1663390818
95,Kaitangata,-46.2817,169.8464,10.39,65,23,2.19,NZ,1663391019
96,Nguruka,-5.1092,31.0419,21.96,41,9,3.34,TZ,1663391019
97,Hambantota,6.1241,81.1185,31.19,66,20,6.17,LK,1663391019
98,Mandla,22.6,80.3833,27.68,76,73,3.81,IN,1663391020
99,Kodiak,57.79,-152.4072,10.04,96,99,2.68,US,1663391020
100,Cape Town,-33.9258,18.4232,13.48,84,98,0.45,ZA,1663391020
101,Bitung,1.4451,125.1824,32.47,69,100,3.42,ID,1663391020
102,Sisimiut,66.9395,-53.6735,7.0,78,98,3.76,GL,1663391021
103,Kapaa,22.0752,-159.319,27.99,79,72,0.45,US,1663391021
104,Namatanai,-3.6667,152.4333,29.6,61,48,4.7,PG,1663391021
105,Bredasdorp,-34.5322,20.0403,12.36,88,82,1.18,ZA,1663391021
106,Mataura,-46.1927,168.8643,8.04,59,59,0.89,NZ,1663391022
107,Punta Arenas,-53.15,-70.9167,3.95,80,99,7.43,CL,1663391022
108,Khandbari,27.3747,87.2039,23.93,87,91,0.55,NP,1663391022
109,Riyadh,24.6877,46.7219,31.3,17,0,1.35,SA,1663391023
110,Butaritari,3.0707,172.7902,27.95,69,20,6.0,KI,1663391023
111,Ambovombe,-25.1667,46.0833,21.67,62,0,2.9,MG,1663391023
112,Thompson,55.7435,-97.8558,9.73,73,82,2.2,CA,1663391024
113,Nuuk,64.1835,-51.7216,10.34,87,75,3.6,GL,1663391024
114,Shenjiamen,29.9576,122.298,25.97,77,6,6.91,CN,1663391025
115,Port Elizabeth,-33.918,25.5701,15.73,86,100,3.58,ZA,1663391025
116,Koindu,8.4386,-10.3253,21.13,99,99,2.25,GN,1663391025
117,Rio Grande,-32.035,-52.0986,14.41,83,0,7.26,BR,1663391025
